name,latitude,longitude,feature_class,feature_code,type,scale
Williamson River,-44.38333,168.5,H,STM,stream,3
Williamson Point,-50.56667,166.16666999999998,T,PT,point,4
Lake Williamson,-44.41667,168.43333,H,LK,lake,4
Mount Williams,-43.83333,169.88333,T,MT,mountain,5
Mount Williams,-42.95,171.63333,T,MT,mountain,5
William Point,-47.26667,167.61667,T,PT,point,4
The William,-41.75,173.93333,T,MT,mountain,5
Port William,-46.85,168.08333000000002,H,BAY,bay,3
Mount William,-41.76667,171.83333000000002,T,MT,mountain,5
Mount William,-40.16667,175.36667,T,HLL,hill,5
Willawa Point,-41.96667,174.05,T,PT,point,4
Willawa,-41.96667,174.05,T,HLL,hill,5
Wilkinson River,-43.13333,171.0,H,STM,stream,3
Mount Wilkinson,-42.76667,171.81667,T,MT,mountain,5
Wilkin River,-44.26667,169.18333,H,STM,stream,3
Wild Mans Brother,-43.41667,171.05,T,MTS,mountains,2
Wild Goat Creek,-45.18333,169.96667,H,STM,stream,3
Wilden,-45.75,169.23333,A,ADMD,administrative division,3
Wild Dog Creek,-45.28333,170.28333,H,STM,stream,3
Wild Cattle Hill,-43.66667,172.85,T,MT,mountain,5
Wilberg Range,-43.26667,170.6,T,MTS,mountains,2
Wilberg Creek,-43.18333,170.63333,H,STM,stream,3
Wilberg,-43.18333,170.6,T,MT,mountain,5
Wilberforce River,-43.33333,171.43333,H,STM,stream,3
Wigram,-43.55,172.55,P,PPL,populated place,4
Wig,-40.7,176.31667,T,MT,mountain,5
Widows,-41.21667,175.91666999999998,T,MT,mountain,5
Wicks Glacier,-43.68333,169.95,H,GLCR,glacier(s),4
Wick Mountains,-44.75,167.9,T,MTS,mountains,2
Wickliffe Bay,-45.828920000000004,170.74368,H,BAY,bay,3
Whymper Saddle,-43.5,170.36667,T,PASS,pass,4
Whittens Creek,-45.3,168.9,H,STM,stream,3
Whitstone,-45.06667,170.88333,P,PPL,populated place,4
Whitlow,-41.18333,172.81667,T,MT,mountain,5
Whitikau Stream,-39.05,175.83333000000002,H,STM,stream,3
Whitikau Stream,-38.16667,177.46667,H,STM,stream,3
Whitianga Harbour,-36.86667,175.7,H,HBR,,
Whitianga,-39.1,174.83333000000002,T,MT,mountain,5
Whitianga,-36.83333,175.7,P,PPL,populated place,4
Whitford,-36.93333,174.96667,P,PPL,populated place,4
Whitewater Stream,-43.25,171.71667,H,STM,stream,3
White Umbrella,-45.63333,169.0,T,PK,peak,5
Whitestone River,-45.53333,167.75,H,STM,stream,3
White Sow Creek,-45.08333,169.95,H,STM,stream,3
Whites Gully,-42.43333,173.53333,T,GRGE,gorge(s),5
Whites Creek,-43.3,172.03333,H,STM,stream,3
Whites Creek,-42.8,171.03333,H,STM,stream,3
Whites Bay,-45.1,168.43333,H,BAY,bay,3
Whites Bay,-41.38333,174.06667,H,BAY,bay,3
White Rock,-41.573890000000006,175.40194,T,RK,rock,5
White Rocks,-46.66667,167.8,T,RKS,rocks,4
White Rocks,-41.08333,174.35,T,RKS,rocks,4
White Rock River,-44.36667,170.93333,H,STM,stream,3
White Rock Point,-46.7,167.91666999999998,T,PT,point,4
White Rock,-47.13333,168.0,T,RK,rock,5
White River,-42.95,171.45,H,STM,stream,3
White Range,-45.93333,167.98333,T,MTS,mountains,2
White Point,-46.85,168.1,T,PT,point,4
White Point,-45.08333,168.46667,T,PT,point,4
White Peak,-45.88333,167.25,T,PK,peak,5
Whiteley Reef,-39.01667,174.13333,H,RF,reef(s),4
White Knight,-42.18333,171.48333,T,MT,mountain,5
White Island,-45.93333,170.5,T,ISL,island,4
White Island,-37.51895,177.18158,T,ISL,island,4
Whitehorn Creek,-40.86667,172.66666999999998,H,STM,stream,3
White Hill,-45.8,170.4,T,MT,mountain,5
White Hill,-45.76667,168.3,T,MT,mountain,5
White Hill,-46.1,167.53333,T,HLL,hill,5
White Head,-46.66667,169.16666999999998,T,PT,point,4
White Head,-46.51667,169.7,T,CAPE,cape,5
Whitehall,-37.88333,175.56667,P,PPL,populated place,4
White Creek,-44.23333,169.23333,H,STM,stream,3
Whitecoomb Creek,-45.5,169.06667,H,STM,stream,3
Whitecoomb,-45.6,169.08333000000002,T,MT,mountain,5
Whitecliffs,-43.46667,171.9,P,PPL,populated place,4
White Cliffs,-38.86667,174.53333,T,CLF,cliff(s),4
Whiteburn,-45.23333,168.31667,H,STM,stream,3
White Bluffs,-41.56667,174.15,T,CLF,cliff(s),4
"Mount White, Makarora",-44.3,169.23333,T,MT,mountain,5
"Mount White, Arthurs Pass",-43.021840000000005,171.96376,T,MT,mountain,5
"Mount White, Collingwood",-40.85,172.33333000000002,T,MT,mountain,5
Whitcombe River,-43.01667,171.01667,H,STM,stream,3
Whitcombe Peak,-43.75,169.88333,T,PK,peak,5
Whitcombe Pass,-43.21667,170.98333,T,PASS,pass,4
Mount Whitcombe,-43.21667,170.91666999999998,T,MT,mountain,5
Whitbourn Glacier,-44.46667,168.55,H,GLCR,glacier(s),4
Whistler River,-43.18315,172.12976,H,STM,stream,3
Whisky Gully,-45.95,169.31667,T,GRGE,gorge(s),5
Whiro,-38.91667,175.15,T,MT,mountain,5
Whiritoa Creek,-37.3,175.91666999999998,H,STM,stream,3
Whiri River,-38.73333,176.65,H,STM,stream,3
Whirinaki Stream,-38.41667,176.11667,H,STM,stream,3
Whirinaki State Forest,-38.78333,176.66666999999998,V,FRST,forest(s),2
Whirinaki River,-38.43333,176.7,H,STM,stream,3
Whirinaki River,-35.45,173.46667,H,STM,stream,3
Whirinaki,-39.26667,175.03333,T,MT,mountain,5
Whirinaki,-35.48333,173.46667,P,PPL,populated place,4
Whiowhio,-35.4,174.31667,T,HLL,hill,5
Whidbey Point,-45.68333,166.55,T,PT,point,4
Wherurau,-38.28333,177.83333000000002,T,MT,mountain,5
Whernside,-41.91667,173.91666999999998,T,MT,mountain,5
Whenuatonga,-45.71667,168.65,P,PPL,populated place,4
Whenuapo,-38.15,174.88333,T,MT,mountain,5
Whenuapai,-36.76667,174.65,P,PPL,populated place,4
Whenuakura River,-39.78054,174.51134,H,STM,stream,3
Whenuakoa,-45.95,169.63333,P,PPL,populated place,4
Whenuakite Stream,-36.9,175.71667,H,STM,stream,3
Whenuakite,-36.9,175.76667,P,PPL,populated place,4
Whenanui Stream,-39.0,176.95,H,STM,stream,3
Whelans Creek,-43.41667,169.83333000000002,H,STM,stream,3
Wheki Stream,-35.8,174.11667,H,STM,stream,3
Whekeiro,-37.71667,177.98333,H,STM,stream,3
Wheeler Creek,-42.01667,172.4,H,STM,stream,3
Wheel Creek,-42.08333,172.18333,H,STM,stream,3
Wheatstone,-44.01667,171.75,P,PPL,populated place,4
Wheao Stream,-38.45,177.83333000000002,H,STM,stream,3
Wheao River,-38.56667,176.65,H,STM,stream,3
Whawanui Stream,-41.56667,175.4,H,STM,stream,3
Whawanui,-41.5,175.33333000000002,T,MT,mountain,5
Whau River,-36.85,174.66666999999998,H,STM,stream,3
Whatoro,-35.75,173.68333,P,PPL,populated place,4
Mount Whatno,-42.93333,172.26667,T,MT,mountain,5
Whatiwhati,-39.48333,174.75,H,STM,stream,3
Whatitirinui Island,-37.75,174.91666999999998,T,ISL,island,4
Whatipu,-37.03333,174.51667,L,LCTY,locality,4
Whatawhata,-38.85,175.3,T,MT,mountain,5
Whatawhata,-37.8,175.15,P,PPL,populated place,4
Whatauri,-38.2,175.55,T,HLL,hill,5
Whatauma Stream,-39.58333,175.11667,H,STM,stream,3
Whatatutu,-38.38333,177.83333000000002,P,PPL,populated place,4
Whataroa River,-43.11667,170.25,H,STM,stream,3
Whataroa,-38.95,176.0,T,MT,mountain,5
Whataroa,-43.28333,170.41666999999998,P,PPL,populated place,4
Whatanihi,-41.23333,173.85,P,PPL,populated place,4
Whatamango Bay,-41.26667,174.08333000000002,H,BAY,bay,3
Whataipu,-37.93333,174.91666999999998,T,MT,mountain,5
Wharuarua,-35.1,173.7,T,HLL,hill,5
Wharua,-44.7,170.51667,P,PPL,populated place,4
Whariwharangi,-40.78333,172.98333,H,COVE,cove(s),4
Wharf Stream,-41.95,173.86667,H,STM,stream,3
Wharfdale,-43.16667,172.21667,S,FRM,farm,4
Wharewhare,-36.6,174.31667,T,HLL,hill,5
Wharetotara Point,-41.0,173.73333,T,PT,point,4
Wharetotara,-41.06667,175.88333,H,STM,stream,3
Wharetarata,-38.56667,175.03333,T,HLL,hill,5
Whareroa Stream,-40.95,174.96667,H,STM,stream,3
Whareroa Stream,-40.23333,175.78333,H,STM,stream,3
Whareroa Stream,-38.85,175.78333,H,STM,stream,3
Whareroa Stream,-36.66667,175.55,H,STM,stream,3
Whareroa,-38.86667,175.76667,T,MT,mountain,5
Whareroa,-39.61667,174.26667,P,PPL,populated place,4
Whareraurehau,-38.48333,176.75,T,MT,mountain,5
Wharerarauke,-38.46667,176.15,T,MT,mountain,5
Wharerangiora,-38.9,176.78333,T,MT,mountain,5
Wharepu Stream,-39.23333,175.78333,H,STM,stream,3
Wharepuhunga,-38.23333,175.61667,T,MT,mountain,5
Wharepuhunga,-38.13333,175.45,P,PPL,populated place,4
Wharepu,-39.26667,175.71667,T,MT,mountain,5
Whareponga,-39.61667,175.41666999999998,H,STM,stream,3
Whareponga,-37.96667,178.36667,P,PPL,populated place,4
Wharepoa Road Station,-37.28333,175.65,S,RSTN,railroad station,5
Wharepoa,-37.26667,175.63333,P,PPL,populated place,4
Wharepapa Stream,-41.38333,175.08333000000002,H,STM,stream,3
Wharepapa Pa,-36.31667,174.13333,T,HLL,hill,5
Wharepapa,-38.4,176.3,H,SPNT,,
Wharepapa,-36.71667,174.43333,P,PPL,populated place,4
Wharepaina,-38.4,176.33333000000002,P,PPL,populated place,4
Whare O Toroa,-39.88333,175.78333,T,MT,mountain,5
Whare O Tarita,-39.86667,175.35,T,HLL,hill,5
Whareorino,-38.41667,174.68333,T,MT,mountain,5
Whareorino,-38.46667,174.66666999999998,P,PPL,populated place,4
Whareongaonga,-38.86667,177.91666999999998,T,PT,point,4
Wharemate Stream,-39.91667,176.8,H,STM,stream,3
Wharemata,-39.78333,175.35,T,MT,mountain,5
Wharekuri Creek,-44.66667,170.36667,H,STM,stream,3
Wharekuri,-44.699709999999996,170.43514,P,PPL,populated place,4
Wharekopae Stream,-38.53333,177.61667,H,STM,stream,3
Wharekopae,-38.48333,177.58333000000002,T,MT,mountain,5
Wharekopae,-38.55,177.5,P,PPL,populated place,4
Wharekohu Bay,-40.88333,174.88333,H,BAY,bay,3
Wharekohe,-35.76667,174.08333000000002,T,HLL,hill,5
Wharekiri Stream,-42.15,173.86667,H,STM,stream,3
Wharekia,-38.1,178.18333,T,MT,mountain,5
Wharekekeno,-37.88333,174.76667,T,HLL,hill,5
Wharekawa Harbour,-37.11667,175.88333,H,HBR,,
Wharekawa River,-37.15,175.86667,H,STM,stream,3
Wharekaukau,-41.35,175.06667,T,MT,mountain,5
Wharekak Stream,-38.5,176.16666999999998,H,STM,stream,3
Wharekahika River,-37.58333,178.3,H,STM,stream,3
Whareihungaru Stream,-39.86667,175.5,H,STM,stream,3
Wharehuia,-39.3,174.33333000000002,P,PPL,populated place,4
Wharehuanui,-44.95,168.76667,P,PPL,populated place,4
Wharehine,-36.31667,174.41666999999998,P,PPL,populated place,4
Whare Hill,-41.26667,175.13333,T,HLL,hill,5
Wharehanga,-38.83333,175.06667,T,MT,mountain,5
Whare Creek,-45.63333,167.68333,H,STM,stream,3
Whareau,-39.4,174.91666999999998,H,STM,stream,3
Whareatea River,-41.73333,171.7,H,STM,stream,3
Whareatea Bay,-40.81667,173.93333,H,BAY,bay,3
Whareama River,-41.02667,176.09306,H,STM,stream,3
Whareama,-40.93333,176.05,P,PPL,populated place,4
Wharawhara Stream,-37.55,175.91666999999998,H,STM,stream,3
Wharau,-41.16667,175.83333000000002,H,STM,stream,3
Wharau,-35.21667,174.05,T,HLL,hill,5
Wharariki Stream,-40.5,172.68333,H,STM,stream,3
Wharanui,-41.91667,174.1,P,PPL,populated place,4
Whanui,-35.7,174.45,T,HLL,hill,5
Whangawehi Stream,-39.1,177.95,H,STM,stream,3
Whangateau Harbour,-36.33333,174.8,H,HBR,,
Whangateau,-36.3,174.76667,P,PPL,populated place,4
Whangatangihangapu,-38.78333,177.46667,T,MT,mountain,5
Whangaruru South,-35.38333,174.35,P,PPL,populated place,4
Whangaruru North,-35.35,174.35,P,PPL,populated place,4
Whangaruru Harbour,-35.36667,174.35,H,HBR,,
Whangaruru Bay,-35.4,174.4,H,BAY,bay,3
Whangaruru,-35.35,174.35,T,HLL,hill,5
Whangaroa Peninsula,-35.36667,174.38333,T,PEN,peninsula,4
Whangaroa Harbour,-35.03333,173.75,H,HBR,,
Whangaroa County,-35.08333,173.75,A,ADM1H,historical first-order administrative division,3
Whangaroa Bay,-34.98333,173.76667,H,BAY,bay,3
Whangaroa,-35.05,173.75,P,PPL,populated place,4
Whangarei Heads,-35.81667,174.5,P,PPL,populated place,4
Whangarei Harbour,-35.8,174.41666999999998,H,HBR,,
Whangarei County,-35.66667,174.25,A,ADM1H,historical first-order administrative division,3
Whangarei,-35.71667,174.31667,A,ADMD,administrative division,3
Whangarei,-35.73333,174.33333000000002,A,ADM2,,
Whangarata,-37.25954,174.99345,P,PPL,populated place,4
Whangarara,-36.25,175.36667,T,ISL,island,4
Whangara Island,-38.56667,178.23333,T,ISL,island,4
Whangarae,-41.08333,173.63333,H,BAY,bay,3
Whangara,-38.56667,178.21667,P,PPL,populated place,4
Whangapoua Harbour,-36.73333,175.63333,H,HBR,,
Whangapoua,-36.15,175.43333,H,STM,stream,3
Whangapoua,-36.71667,175.61667,P,PPL,populated place,4
Whangapoto Point,-40.93333,173.91666999999998,T,PT,point,4
Whangapoa Stream,-38.4,176.03333,H,STM,stream,3
Whangapiro Stream,-36.28333,174.58333000000002,H,STM,stream,3
Whangape Lake,-37.46667,175.05,H,LK,lake,4
Whangape Harbour,-35.36667,173.21667,H,HBR,,
Whangape,-35.35,173.21667,P,PPL,populated place,4
Whangaparapara Harbour,-36.25,175.41666999999998,H,HBR,,
Whangaparaoa Passage,-36.6,174.86667,T,PASS,pass,4
Whangaparaoa Roads,-37.6,177.93333,R,RD,road,3
Whangaparaoa River,-37.56667,177.98333,H,STM,stream,3
Whangaparaoa Peninsula,-36.6,174.81667,T,PEN,peninsula,4
Whangaparaoa Head,-36.6,174.83333000000002,T,CAPE,cape,5
Whangaparaoa Bay,-36.6,174.75,H,BAY,bay,3
Whangaparaoa,-36.63333,174.76667,P,PPL,populated place,4
Whangapara,-36.23333,175.4,P,PPL,populated place,4
Whanganui Stream,-38.78333,175.73333,H,STM,stream,3
Whanganui Island,-36.78333,175.43333,T,ISL,island,4
Whanganui Inlet,-40.6,172.58333000000002,H,BAY,bay,3
Whanganui,-38.73333,177.08333000000002,H,BAY,bay,3
Whangamumu Harbour,-35.23333,174.31667,H,HBR,,
Whangamumu,-35.2513,174.28891000000002,P,PPL,populated place,4
Whangamomona,-39.14456,174.73532,P,PPL,populated place,4
Whangamoa River,-41.1,173.53333,H,STM,stream,3
Whangamoa Head,-41.11667,173.51667,T,CAPE,cape,5
Whangamata Harbour,-37.2,175.86667,H,HBR,,
Whangamata Bay,-38.66667,175.9,H,BAY,bay,3
Whangamata,-37.2,175.86667,P,PPL,populated place,4
Whangamarino River,-37.3,175.08333000000002,H,STM,stream,3
Whangamarino,-37.349140000000006,175.11348999999998,P,PPL,populated place,4
Whangakoko Bay,-41.28333,174.16666999999998,H,BAY,bay,3
Whangakoko,-41.28333,174.16666999999998,P,PPL,populated place,4
Whangairehe Stream,-39.18333,175.28333,H,STM,stream,3
Whangai Range,-40.2,176.41666999999998,T,MTS,mountains,2
Whangaipotike,-39.53333,176.03333,H,STM,stream,3
Whangai O Te Kapinga,-41.23333,175.68333,H,STM,stream,3
Whangaimoana,-41.41667,175.16666999999998,H,STM,stream,3
Whangaehu River,-41.2,175.46667,H,STM,stream,3
Whangaehu River,-40.4,176.63333,H,STM,stream,3
Whangaehu River,-40.04187,175.10173,H,STM,stream,3
Whangaehu,-40.4,176.63333,S,FRM,farm,4
Whangaehu,-40.00747,175.16876000000002,P,PPL,populated place,4
Whanawhana,-39.53333,176.41666999999998,S,FRM,farm,4
Whanaukino Stream,-39.6,176.43333,H,STM,stream,3
Whanarua Bay,-37.68333,177.78333,H,BAY,bay,3
Whananaki South,-35.51667,174.45,P,PPL,populated place,4
Whananaki Inlet,-35.51667,174.46667,H,BAY,bay,3
Whananaki,-35.5,174.45,P,PPL,populated place,4
Whanaki River,-36.33333,174.43333,H,STM,stream,3
Whalesback,-44.2,170.58333000000002,S,FRM,farm,4
Whales Back,-42.46667,173.23333,T,MT,mountain,5
Whale Passage,-47.18333,167.71667,T,PASS,pass,4
Whale Creek,-43.95,170.15,H,STM,stream,3
Whakoau Stream,-38.08333,178.05,H,STM,stream,3
Whakoau,-38.06667,178.03333,T,MT,mountain,5
Whakeironui,-37.38333,175.41666999999998,T,MT,mountain,5
Whakawiri,-38.98333,175.01667,T,MT,mountain,5
Whakauranga Stream,-38.38333,178.11667,H,STM,stream,3
Whakaumu A Tuke Kauae,-38.86667,177.71667,T,MT,mountain,5
Whakauahi,-39.46667,174.83333000000002,T,MT,mountain,5
Whakatutu,-38.18333,175.9,T,MT,mountain,5
Whakatu,-39.6,176.88333,P,PPL,populated place,4
